1st-TotalTime;1st-VATime;1st-WaitTime;2nd-TotalTime;2nd-VATime;2nd-WaitTime;3rd-TotalTime;3rd-VATime;3rd-WaitTime;Automated_scriptUtilization;MDUtilization;NURSEUtilization;ProHOSP-ITQueueNumberInQueue;Proc-suspicious-MDQueueNumberInQueue;ProcBED-NURSEQueueNumberInQueue;ProcEQUIP-STEAMQueueNumberInQueue;ProcICT-ITQueueNumberInQueue;ProcMIOT-MDQueueNumberInQueue;RTEAMUtilization;STEAMUtilization;TTEAMUtilization;
1.1621;1.0686;.09358;3.6533;.40008;3.2532;5.1843;5.1637;.02057;.36283;.02715;.19933;.00000;.00581;.00860;.00000;.00000;.01203;.00328;.18572;.12730;
1.2665;1.1857;.08078;4.8653;.37749;4.4878;4.9052;4.8701;.03507;.38354;.02351;.21322;.00000;.00000;.00653;.00000;.00000;.00400;.00336;.19869;.11959;
1.3426;1.2235;.11917;4.7275;.37389;4.3536;4.6809;4.6310;.04993;.38786;.02726;.21737;.00000;.00536;.00609;.00220;.00000;.00624;.00316;.19320;.10824;
1.2681;1.1400;.12808;3.3831;.39302;2.9901;4.7081;4.6947;.01342;.37352;.01738;.20643;7.0137;.00000;.00135;.00000;.00000;.00000;.00307;.19317;.12513;
1.4333;1.2752;.15816;4.0767;.37216;3.7046;4.9208;4.8909;.02988;.38499;.03103;.23005;.00185;.00730;.00961;.00000;.00000;.02555;.00000;.18992;.13281;
1.3749;1.2127;.16221;4.3876;.39788;3.9897;4.8926;4.8410;.05157;.41023;.02523;.24248;.00000;.00000;.01060;.00000;.00000;.00000;.00461;.19587;.12627;
1.2708;1.1499;.12092;2.9377;.34786;2.5899;4.9511;4.9380;.01313;.36735;.02873;.20791;.00000;.02407;.01048;.00654;.00000;.00422;.00170;.17521;.13797;
1.3715;1.2150;.15653;4.0431;.34200;3.7011;4.9063;4.8740;.03232;.39528;.02060;.22175;8.7911;.00000;.00175;.00000;5.7255;.00231;.00486;.17663;.14874;
1.2668;1.1428;.12402;4.1721;.40910;3.7630;4.9061;4.8904;.01570;.38136;.02375;.22252;.00000;.02141;.00447;.00928;.00000;.01265;.00530;.21188;.10996;
1.2821;1.1769;.10514;5.3806;.35007;5.0306;4.7487;4.7177;.03102;.39845;.02439;.23072;.00000;.00000;.00347;.00276;.00000;.00263;.00165;.19267;.10940;
